,nota_review,review
7750,5,"Muito bom, chegou rápido. Já fiz alguns testes e funcionou muito bem"
31853,3,Empresa cumpriu com o prazo de entrega e produto bem embalado.
3903,1,ate o momento nao recebi o produto
36317,1,"Acho que pelo preço cobrado no frete, deveria haver mais respeito ao cliente em relação ao prazo!!!!"
24863,1,Não recebi minha mercadoria e estou muito insatisfeita pois já é a segunda vez que acontece. Aguardo solução.
34179,4,"A entrega foi no prazo, deu tudo certo. O produto é péssimo. "
20985,1,"Película menor do que a tela do celular
"
17478,4,"Só uma crítica, o site saiu do ar a parte dos pedidos e não pude rastrea-lo. Site muito ruim nessa parte. E na central não tem como reclamar sem o número do pedido, ou seja, sem comunicação, só espera"
23303,2,Só não gostei devido ter que retirar o produto nós correios.
17246,4,"veio muito rápido, recomendo"
36322,3,"Bem, não é um fatiador mas um picador"
10014,1,Não recebi meus produtos no prazo estabelecido. Não consegui rastreá-los pela transportadora . Ainda Estou aguardando o envio do produto.
16881,2,Eu estava esperando um de moto e veio um de bicicleta
7334,5,Chegou antes do prazo estipulado !! Recomendo 100%
4121,2,"Entrega feita no prazo, porém o produto entregue não foi o comprado. Estou tentando resolver a situação."
7617,1,"Produto fora de prazo, não deram satisfação alguma, compra realizada no final do mês passado, tendo passado dois dias da data de entrega e o produto nem saiu pra transporte."
39094,1,Não consigo contato com a empresa. Absurdo.
27073,3,O produto parece não te muita resistência
30678,5,Loja super segura para compras 
27089,4,Produto bom corta bem os pelos
33619,1,Adquiri produto original e recebi genérico. Impressora da HP não aceita. Já solicitei devolução do dinheiro e não obtive resposta.
11374,5,Entrega rápida e produto excelente. Continuarei comprando e recomendando.
21174,2,"Recebi no prazo, mas comprei o hoverboard com bolsa, e ela não veio gostaria de saber por Que"
27063,5,nao tive problemas
36387,1,Chateada com tudo isso comprei duas capas protetora de colchões e só recebi uma e ainda que agente confirme a entrega é muito sem noção!?
13054,5,"Tudo ok, 100 %."
17031,5,"Achei apenas que o tecido fosse mais confortavel pela foto... Achei ele nao tao ""elastico""."
28825,5,"Muito bom , chegou super rápido."
22183,3,O Produto poderia ser melhor 
3858,5,rapido na entrega e produto conforme o anunciado
17457,1,comprei mesa pra notebook com ordinhas e veio mesa infantil totalmente diferente quero meu produto correto
31084,1,Não recebi o produto portanto nao posso avaliar ainda
12206,1,"Entrega realizada quase dois meses após a data prevista. 
"
3718,5,Do jeito da foto é das descrições! 
32564,5,"muito rápido. Mas as outras duas compras minha ta vindo de jegue, treze dias nem a nota fiscal ainda não foi gerada."
30484,3,otimo foi entrege antes do prazo
413,5,Entrega super rápida. Produto de ótima qualidade. Recomendo.
38782,5,excelente opção de compra.
13423,5,bomba mto boa
32890,4,"Todas às vezes que comprei nas Zoop, fiquei satisfeita"
26047,1,Já passou 3 dias e o produto não foi entregue.
20507,3,"Compatível com o valor ,a entrega super rápida. Parabéns pra lojas!!!
 "
9163,5,As Lojas Zoop sempre entregam o produto corretamente e antes do prazo. 
25427,5,Valeu cada Real Investido. Recomendo a TODOS.
38707,1,Faltaram duas embalagens
26200,5,"Eu gostei de comprar na loja, o produto não demorou foi entregue no prazo e consegui acompanhar todo o processo depois da compra como emissão da nota e podia até rastrear onde o produto estava."
12307,5,Gostei de comprar na Zoop. Com
20760,1,Nunca mais comprarei a essa empresa . E as Zoop também perderam um cliente.
7564,5,"Veio bem embalado e ótima condições,Ainda não usei."
24213,1,"Só recebi emails falando q estaria vindo, q estava no correio, mas nd."
14241,4,"Recebi mais os dois estão com defeito e não sei como fazer
"
22111,5,Recomendo sempre para todos. Foi tudo ótimo.
30788,5,Chegou no prazo e é bem bonito!
18778,3,Olha talvez vcs precisem de um chat pois émuito dificil fazer troca site e também por tel esperei mais de 25 minutos e desisti . nao gostei seus canais de comunicação nao é eficiente. Na compra sem pr
3947,4,recebi o produto antes do prazo de entrega e sem intercorrências
11365,5,"Super rápido, excelente e frete justo"
4329,3,"Em se tratando de avaliar a entrega não tenho o que reclamar, porém recebi o produto danificado.
Gostaria de saber como posso solicitar a troca do mesmo ou o crédito.
Fico no aguardo de um retorno."
28298,2,"Mais a colcha escorrega muito
E os enchimento era pra ser de travesseiro mais é almofada é alto é duro não dá pra usar como travesseiro"
5491,1,"Ate o momento alnada do meu pruduto, gostaria de saber quando que vou receber..."
2832,2,"Uma loja que só pensa em pegar o dinheiro do cliente, mas não entrega mercadoria."
12630,1,Não sei como nos dias atuais ainda existem lojas assim. O prazo de entrega já é muito extenso. E o maior problema de todos: o item não foi entregue!
37163,1,Pedido não entregue (prazo de entrega não obedecido)
31850,3,"Ótima compra chegou bem antes do prazo, ainda não usei mas fiquei hiper feliz recomendo 👏👏👏👏👏"
11671,4,gostei de comprar neste site
33925,4,A demora pra entrega é maior que de outros produtos e isso é desanimador
34550,5,dentro do prazo e em ótimo estado 
1872,5,"Gostei muito, entregaram antes do previsto."
35228,1,"Não entregaram a encomenda completa. Eram para terem entregue uma bolsa com porta tênis e um kit de porta sapatos, recebi apenas este último, que por ""coincidência"" é o item mais barato."
8631,4,Produto parece bom. Ainda não usei.
29707,1,"Até o momento NÃO recebi o produto..., conforme combinado. O prazo final para a entrega seria no dia 23/03 e o prazo não foi cumprido."
10498,3,"O produto não é tão macio, é bem fino mais muito bonito"
2925,4,Chegou tudo certo . 
28502,2,A tinta da borda preta fica soltando na nossa mão bom que não saltar
9505,5,"A entrega foi realizada bem antes do prazo.
Parabéns! "
19739,4,"Entrega e produto conformes. No entanto, a tesoura é muito pesada e estou solicitando devolução para compra de uma menor e mais leve."
25395,5,Na foto não tem elástico na borda e veio com elástico. Ja comprei ele pelo fato de não ter elástico. Prefiro sem. E não tem nenhuma abertura lateral.
37490,5,Recebi o produto muitooo rápido e estou satisfeita .
3946,5,"Pena que chegou, depois que sai em viagem"
7880,5,"Recebi antes do prazo, adorei!"
36138,5,"Produto sem detalhes. Muito bom e bonito. Alem de que a entrega foi muito rapida. Estava prevista para o dia 17 e foi entregue dia 01...
Produto resistente e bem aderente."
21678,1,"Quero meu produto entregue
"
21621,5,indico e super recomendo td perfeito desde o produto ate a entrega.
20231,5,"Gostei tudo que eu esperava
"
19347,5,"A entrega foi feita em apenas 3 dias. A mochila é simples, chique e muito resistente."
5141,5,Recebi o produto há poucos dias. Por enquanto funcionando muito bem. 
17310,1,O produto foi entregue porém a atualização do status de onde ele estava ou se já tinha sido enviado não aconteceu. Recebi mas de surpresa pq o app não me atualizou de nada sobre o status da compra
37578,5,Já tem três dias que funciona perfeitamente. É só o que posso dizer.
6053,5,Recomendo a entrega chegou no prazo e o produto perfeito.
25692,5,"Super recomendo, chegou super rapido e bem antes do prazo esperado"
12446,3,"Como não recebi o produto,não tenho como recomendar.
Favor entrar em contato comigo para esclarecer."
28294,4,"Recomendo sim , porém comecei a usar recentemente. "
20369,5,"Simplemente maravilhoso, chegou muito antes do prazo. Entrega rapidissima. Amei"
1127,5,"Entrega no prazo, produto de qualidade, preço justo. Recomendo"
26023,5,"excelente empresa recomendo a todos.
O produto foi entregue antes do prazo!!!"
18742,4,"chegou bem antes do prazo, direitinho."
27968,1,"Olá. Não estou entendo o que está acontecendo. Dizem que o produto foi entregue, mas a principio não recebi nada."
8566,5,Indico pra todos. 
20805,5,Maravilhosa veio do jeito q queria!
6245,5,Otima compra e a entrega super rapida...
9119,3,A entrega foi rápida.. Mais Eu comprei o produto da cor azul e me entregaram preta..
13902,1,Desapontada com o serviço de compra pela internet das Zoop. o carregador não pega em nenhum celular 
15741,5,"A loja entregou antes do prazo, gostei sim e recomendo.."
12439,3,"Aparentemente um bom produto, ainda não tive tempo de testar."
13297,5,"chegou no prazo, tudo certo. ainda noa instalei mas a principio tudo ok com o produto"
28415,4,"produto de ótima qualidade, entrega antes do prazo"
29218,5,"excelente, recomendo pra todos"
20314,5,Pedido entregue até antes do prazo previsto super recomendo essa loja.
7273,1,Não entregou no prazo por isso a avaliação ruim. Ainda não recebi o produto 
13311,5,"Satisfeita com a compra. Entrega rápida , super indico essa loja. "
24596,2,"Na discrição o relógio e masculino mais agora na mão parece feminino muito pequeno, não gostei, quase não enxergo os números."
5366,5,Como sempre a entrega antes do prazo e um ótimo atendimento
1374,3,Mais ou menos não gostei
1954,5,O produto chegou em ordem e no dia certo.
37946,3,"Tudo dentro do previsto, obrigada!"
26537,4,Produto correto e entrega dentro do prazo
4573,2,Parabéns para toda equipe.
34492,5,Sempre bom compra na 
35563,5,Produto muito bom e de qualidade 
11850,5,"muito bom, super recomendado."
1172,5,"Fiquei muito feliz com minha compra, os produtos chegaram bem antes da data prevista fiquei até surpresa, mercadoria bem embalada e tudo certinho. Amei e super recomendo."
4020,5,Produto de excelente qualidade entrega antes do prazo.
26697,4,"Adorei o produto, fui muito bem atendida e chegou bem antes do prazo da entrega. Super recomendo."
19632,5,"Recebi o produto bem antes do prazo. Ainda não foi testado, pois, é presente e não foi entregue."
9673,5,"Entrega no prazo, bem embalada, produto correto, estou muito satisfeito."
10743,3,"Produto muito bom, para fixa aplica duas vezes."
5018,1,Espero receber o mais rápido possível a minha compra!
14023,5,"Comprarei sempre nas lojas Zoop.

"
11457,5,"Entrega no prazo, produto de acordo com o pedido, excelente"
28590,5,Recebi muitos dias antes da previsão. Recomendo!
17995,5,"Tudo rápido, me senti tranquila em poder acompanhar cada etapa da entrega,que foi bem antes do prevista.Continuarei comprando e recomendando."
18503,5,Muito bom entregá com agilidade e competência. 
14375,5,Produto chegou antes do prazo. Muito bom!
16275,5,Tudo correu bem com o pedido!
18726,5,"Bolsa de muita qualidade, tamanho perfeito. Indico a todos"
20017,5,Produto de ótima qualidade e recomendo a todos.
29078,5,Já recebi gostei muito bom 
24145,1,"infelizmente não tem como avaliar,porque não recebi ainda o meu pedido.Enviaram pelo correio e não foi entregue! Está parado nos correios,era para ser entregue até o dia 07/03/2018,mas não entregaram "
17430,2,"Simplesmente, não serve pra nada."
3614,5,"Muito bonito e rápido, recomendo"
38646,5,O pircieng chegou amei!!!!
6871,2,"apesar do produto ter sido entregue dentro do prazo solicitado, o prazo de entrega é muito longo e a entrega demorada. para se ter ideia o mercado livre entrega mas rapido."
26091,5,gostei muito de compra nessa loja recomendo com certa..
17313,1,Essa empresa não cumpre com o que diz. Decepcionada!
37431,5,Muito obrigado pela a excelência entrega sempre no prazo 
13136,5,continuem assim
37784,5,"Ótimo produto, entregue 10 dias antes do prazo."
19890,4,"Gostei bastante do mouse, é bonito de modo geral e bem leve. Porém, achei o material bem fuleiro, aparenta quebrar facilmente, mas funciona bem. "
23981,4,Ainda experimentando o produto
32292,3,atrasou más recebi 
22959,5,BOM PRODUTO E ENTREGA ANTES DO PRAZO PREVISTO
13394,5,Na próxima compra também vou comprar
32858,4,Só atrasou por causa dos correios
8783,5,pena que o prazo foi longo
22310,1,"Fiquei esperando o produto chegar e nada, mostrava que tava transportando mas nunca saía do mesmo lugar, tive que cancelar a entrega, to esperando pra vê se eu vou ser ressarcido do valor! "
30168,5,"Ainda não foi possível avaliar o produto mas a entrega foi super rápida, bem a tempo de ser o presente de natal, correu tudo bem!"
8354,5,"RECEBI MUITO RÁPIDO ANTES DO PRAZO, OTIMO QUALIDADE ADOREII"
25769,3,"Poderia ser mais rápido. Todo mundo quer vender via internet, mas, a maioria peca no prazo de entrega. Não tem justificativa para demorar tanto tempo."
24577,1,"O produto não condiz com a descrição. É de baixíssima qualidade para o preço. Coisa da China q custa 10,00 no máximo. Estou solicitando meu dinheiro de volta porém a loja não entra em contato. Péssima"
26001,2,O SAC é uma porcaria 
7983,1,"péssima embalagem , tive que colar ele todo, fique com preguiça pelo preço de mandar de volta, mas não indico pra ninguém a loja..."
20445,5,"Entrega bem antes do prazo, produto bem embalado e bem melhor do que eu esperava. Recomendo."
3617,5,Satisfeita com atendimento e entrega. Não montei ainda pra ver a qualidade do produto.
10937,5,Foi muito bom comprar nas lojas Zoop recebi o meu produto antes do prazo e em perfeitas condições 
12220,4,"Recomendo, porem a entrega pelos correios não chega no prazo"
8546,1,Sempre comprei pela Zoop.com e essa foi a única vez em que o prazo encerrou e ainda não recebi o produto. Inclusive comprei por outras duas lojas bem depois de vocês e os produtos já chegaram.
35574,1,"Não recebi um produto, o porta-chaves, apenas os quadros. "
11105,5,"Já uso esse produto há um bom tempo, sempre faço pesquisa de preços e acabo comprando na Zoop, e entrega é super rápida."
1859,5,N/c
17264,4,Produto simples mas eficaz no seu proposito. Entrega muito boa. Bem antes do prazo.
15386,5,Magnifico....Nota 10
4283,5,Produto e fenomenal 
28947,5,Adorei o produtos 
21287,3,O produto veio com defeito e atraso na entrega.
17579,4,Produto simples mas que atendeu a expectativa em razão di baixo custo. Boa opção de presente. Entrega antecipou.
1813,4,"A partir do momento que o pagamento foi aprovado fizeram todo o processo rápido, chegou bem antes do prazo, só não gostei da embalagem que foi feita, mas Ok."
22516,5,"Foi muito fácil fazer a compra, e a entrega correspondeu ao produto."
1150,2,Deveria melhorar o prazo. Demora muito tempo para entregar a mercadoria. O produto permaneceu alguns dias parado e já podia ter sido encaminhado.
26766,5,Chegou bem antes do prazo. Muito bom.
19150,1,ja é a segunda vez que peço esta carteira e não me entregam
2841,1,algumas informações do site do correio desencontradas diziam que o produto não havia chegado na unidade de minha cidade.
30151,3,Bom dia! Ainda não recebi o produto mas pelo rastreio vejo que o problema está nos correios.
19415,2,"Demora absurda para entrega, dentro do prazo especificado por eles, mas ainda sim muito demorado!"
21545,1,Não entregou o produto
35885,2,não tenho como avaliar pq ainda não recebi o produto.
17061,5,Produto de qualidade. Loja parceira muito boa.
6295,1,"Não recebi o produto , e não tive nenhum retorno da loja para saber do produto ."
589,5,otimi produto entrega excelente
10207,1,simplesmente não entregaram e sequer deram alguma satisfação
34266,2,"o mouse que eu queria veio errado, pois as especificações não são claras, eu pensei que o mouse era sem fio, porém o mesmo é com fio. Mas dentro do que foi ""pedido"" veio certo."
28031,3,"Eu recomendo esta loja porque eu conheço,mas estou aguardando mercadoria."
14029,5,Chegou muito rápido e tudo direitinho
33832,5,"Prazo de entrega para 9 dias, chegou no 2o.!!!"
9804,5,"Muito bom , entrega rapido e dentro do prazo. Recomendo!! Muito satisfeita. "
11954,5,Já compro há algum tempo e sempre chega tudo antes do prazo.
320,5,Entrega rápida produto conforme anunciado
28558,1,E ainda não querem fazer o cancelamento 
20961,3,"Película bem tecnológica, aparentemente mito boa para proteger a tela do smartphone, mas parte das bordas não ficaram bem aderentes à tela do smartphone."
15323,5,Chegou antes do previsto!! Super recomendo!!
13639,1,Tem quase 40 dias que fiz esse pedido e se não tivesse entrada em contato com a Zoop via e-mail não teria tido respostas nenhuma... fiquei super decepcionada...
5996,1,"Infelizmente ainda não recebi meu produto!
Não posso nem avaliar !
As lojas Américas tem que selecionar melhor seus parceiros! "
20962,5,"Site confiável, entrega foi realizada antes do prazo máximo."
38471,5,"Recebi o produto antes do prazo real da entrega.
Sem defeito e bem embalado."
4055,1,veio somente uma pastilha de 06 e nao recebi o cloro ainda !!!
19972,3,"Os produtos foram entregues em dias diferentes, o que gerou reclamação na entrega do primeiro pacote."
36880,5,Entrega record e produto de excelente qualidade.
22987,5,Super recomendo chego antes do prazo
4803,2,Trabalhem para reduzir o prazo de entrega. Não sei se compraria novamente através do site.
21148,5,Produto muito excelente eu recomendo está loja a todos
10386,1,Não recebi meu produto ainda!!! Não tem como avaliar
14042,5,"CHEGOU ANTES DO PRAZO, ótima compra !"
18602,4,Já comprei vários itens no site é sempre chegam antes do prazo e sem defeito 
13688,4,Produto bom e sua entrega foi no prazo. 
3321,5,me surpreendeu chegou antes do prazo 
24897,5,100% satisfeito. Recomendo.
8266,5,"parabens, entrega feita ate mesmo antes do prazo.
loja 100% confiável."
39214,5,Recebi o produto e gostei da qualidade
1140,5,Recebi o produto antes menos do prazo de entrega. Produto de ótima qualidade 
32095,5,Tudo dentro do combinado e do prazo. 
2796,5,"É uma loja de confiança,compro há muitos anos."
6815,5,"Adorei o produto, a entrega ocorreu bem antes do previsto.
Valeu totalmente a pena."
374,5,Produto de ótima qualidade
28225,5,Entrega rápida produto otino
27498,5,Entrega feita normalmente. Produto de boa qualidade.
31515,5,"EXCELENTE PRODUTO, PERFEITO"
5392,1,Meu produto não chegou e ao rastrear aparece como erro no processo da entrega!!
10629,5,A entrega foi super rápida. Produto lindo e de excelente qualidade! Recomento!
2721,5,"Chegou antes do prazo, muito bem embalado em perfeita condições."
28259,2,"Recebi parte do pedido. Comprei dois cartões de memoria e só recebi um. Também veio outro pacote do mesmo fornecedor, só que com mercadoria errada. No mesmo dia que recebi a mercadoria entrei em conta"
23415,5,Veio conforme o previsto ..
37618,5,A encomenda chegou antes do prazo. Muito bom!
12736,5,"Eu quero meu cartão da loja, ou não comprarei mais na loja."
38627,5,Recomendo chegou bem antes do prazo 
10791,5,"Os kit é muito cheiroso, vieram muito bem embalados e protegidos! Parabéns mais uma vez pela entrega dentro do prazo."
5808,3,"Entrega no prazo, produto correto, mas o relógio não funciona "
8678,1,"O produto foi para o lixo, não houve possibilidade de instalar. "
7781,1,RECEBI O PRODUTO MAS. NÃO ESTA FUNCIONANDO. DEIXEI VARIAS HORAS CARREGANDO E NÃO ACENDE NENHUMA LUZ.
34799,5,"Entregue 9 dias antes do previsto.
Produto de qualidade melhor do que o esperado."
9457,5,Excelente na compra no pagamento do boleto bancario e na entrega obrigada
12227,5,ótimo produto e qualidade.
5661,5,"Entrega antecipada
Produto igual ao anúncio
Nota 10
Super recomendo"
15613,1,Pessima entrega demora um século pra entregar 
37852,5,"Gosto muito de fazer compras pela . Ainda não tive problemas e espero não ter. 
Estou muito satisfeita!
"
11841,5,recebi a mercadoria + comprei pra um amigo e acho q esta tudo legal!
12246,5,Relógio muito bonito e funcionando bem. Ficou perfeito na sala. Recomendo o produto.
23458,2,"A bateria chegou estourada, estão nem consegui ligar o termômetro ainda."
32162,4,"A entrega foi feita antes do prazo, tudo em perfeito estado."
14401,4,Como das outras compras não tive problemas.
24478,5,entrega rápida ...são lindas amei .
13945,5,atendimento profissional correto
7307,5,"entrega antes do prazo estabelecido, satisfeita. Parabéns a Zoop. Com."
21608,1,Acredito que a entrega não foi realizada devido a greve dos caminhoneiros. Vou aguardar mais alguns dias.
32005,5,"A entrega aconteceu dois dias após a compra, o detalhe que a empresa era da mesma cidade que a minha, desta forma achei exagerado a cobrança do valor do frete, pois a parceira fica 2km da minha casa."
29325,1,Olá...o produto nao foi entregue em minha residência. 
14215,1,O produto a inda não chegou e não dá satisfação nenhuma
2673,5,"recebi dentro do prazo previsto, muito bom"
1624,1,"Quero saber o que aconteceu com a minha entrega, o prazo ja passou e nao tive satisfacao dos responsaveis."
21461,2,Ainda não recebi e quero cancela a compra 
28772,1,AINDA NÃO RECEBI O PRODUTO E O STATUS DIZ QUE FOI ENTREGUE. ESSA É A 4A. RECLAMAÇÃO. NENHUMA FOI RESPONDIDA.
27571,5,"Bom eu já sabia que era,mas é muito bonito.recomendo."
29248,4,"Recebi o produto correto, porém não fiquei satisfeita pois o relógio é muito pequeno até parece de criança."
32467,2,demorou demais a entrega. produto nao muito reforçado mas bonito
19770,2,"A entrega, apesar de estar dentro do prazo, demorou muito. Pra quem está acostumado com a agilidade da Zoop, esse parceiro deixou a desejar. E olha que estão na mesma cidade que eu!"
34190,1,"Estou muito insatisfeito com minha compra, produto ainda não chegou"
24229,1,"Apesar de dentro do prazo, achei a entrega bastante demorada."
33446,5,"Lindas assadeiras, de ótima qualidade. Recomendo a todos!"
26336,5,Gostei de comprar com vcs 
12072,5,"Recebi antes do prazo, e o produto funciona bem."
2190,1,Não recebi meu produto e ainda não respondem meus contatos. Horrível essa loja 
12027,5,NADA A DIZER 
22437,1,Produto não entregue. Quero cancelamentonda compra. Enviei email ontem para Amercianas informando a nao entrega. Não consigtem falar o SAC pois só da ocupado.
4330,1,"Por duas vezes adquiri produtos com vocês,sendo cobrada taxa de entrega contudo das duas vezes realizadas nao foi entregue conforme acordado bem como não houve a restituição dos valores "
39253,5,"Entrega foi bem antes do prazo estipulado, produto atendeu a expectativa, super recomendo."
32715,4,"Produto de qualidade, veio super bem embalado e chegou super rápido, muito antes do prazo!"
3666,4,otimo app de compras
26829,4,Chegou antes do previsto amei o produto
21898,2,"Recebi o tapete mas a estampa não é a mesma da foto de descrição. Esperava uma única tonalidade, no entanto, ele é composto por dois tons (forte e claro) bem diferente ao prometido no anúncio. "
9897,5,"Relógio lindo, exatamente o que eu queria. "
6645,4,ótimo recebi no prazo
18188,3,"Muito boa essa loja, não atrasa o pedido os produtos vem certinho..."
23924,1,Muito Agel com a entrega obrigado
24261,5,"Os prazos foram respeitados, o que vem de encontro ao lema das Lojas Zoop."
21549,1,Comprei o produto não veio o modelo que eu queria 
24543,5,super indico... entrega super rápida...
36209,3,Outras lojas estão dando um suporte de comunicação mais rápido e com a entrega também mais ágil 
17256,5,Amei o produto é toda a atenção dada durante o processo!! Parabéns a toda equipe.
13141,4,"Recomendo a loja, entregou o pedido no tempo determinado e sem avarias."
39408,5,"Gostei do produto, chegou muito rápido!"
2205,1,"Gostaria de saber o motivo pelo qual não recebi ainda, a possibilidade de entregar ou faço o cancelamento do pagamento ? "
25099,1,"Não aguento mais esperar por meu produto, uma falta de comprometimento com o cliente. "
20331,5,"Foi a primeira vez que adquiri um produto da baratheon e estou muito feliz pela mercadoria ter chego com RAPIDEZ, pois, como moro na região norte (RR) temos muita dificuldade quanto ao prazo de entrega"
4355,4,O serviço de entrega foi rápido e o preço sem abuso 
15589,4,"Entrega rápida, a qualidade da granola não é tao boa."
35691,4,Compra e entrega dentro do normal esperado.
24317,5,e a segunda vez que eu compro nessa loja estou muito sastifeto otima loja
279,5,"Como sempre, excelente serviço."
1404,5,"Tudo conforme o esperado, e entrega muito rápida, bem antes do prazo!"
19431,5,Até hoje ainda na tive problemas com compras nas lojas Zoop. Muito boa compra.
1282,5,"Ótimo vendedor, recomendo! "
14493,1,Não recebi minha compra dentro do prazo. Estou aguardando mas parece que a única solução dada pelo site é cancelar o pedido (o que não vai acontecer). Preciso do produto! Aguardo retorno
21662,2,"não quero o produto, não serviu pra minha sala."
19365,5,"Eu recebi antes do prazo e era o que eu esperava, só não testei ainda! "
30384,2,"É a primeira vez que fiz a compra, e ainda não chegou.. Só quero indicar a partir do momento que tiver o produto em mãos."
12777,5,O produto foi entregue bem antes do previsto e ainda veio com um cabo extra de brinde! 
26006,1,Não está funcionando o produto
39395,5,"Atendimento e envio super recomendado.
Produto ainda não usei, não deu tempo."
13543,4,"Gostei do porta lápis. Muito bonito.
Entrega rápida. Loja confiável."
30812,4,Recebi o produto do prazo. Mas não testei ainda.
6714,5,"Melhor preço,produto muito bom."
21520,5,"Satisfeita com a compra, entrega e qualidade, parabéns a toda equipe envolvida!!!"
31292,1,"Lamentável a Zoop ter empresas que nem retomam ao cliente. 
Sim o atendimento da Zoop do reclameaqui me atendem.

Essa empresa já deveria ser removido site já deixei de comprar pq vi OL"
36634,5,NÃO GOSTEI DA TAXA DE ENTREGA MAIOR QUE O PRODUTO.
34667,1,Chateada com a demora! Sempre compro da Zoop e isso nunca tinha acontecido 
32606,5,"Entrega adiantada, me mantiveram informado da posição do produto, e chegou correto"
9651,3,"São bonitas, o único problema que são muito finas. Deveria ser melhor "
17623,4,Primeira experiência boa. 
37049,1,"A Lojas Americana sempre é perfeita, porém, o produto é muito frágil e o pino de ajuste de hora cai sempre, além disso, o horário do relógio atrasa."
2406,1,"Não entendi o que houve. No site consta que meu pedido foi entregue, porém, não chegou a minha casa."
7642,1,Se realmente tivenssem preocupação com os clientes nao deixariam a desejar em questao as entrega pois como que outros pedidos que foram feito no mesmo lugar e dia chegaram e eles colocam dificuldades.
7036,5,"Não consegui rastrear o produto pelo link dos correios. Mas chegou no prazo, tudo ok"
28445,1,Comprei dois intes e só chegou um
6579,2,"Nem uma satisfação ou justificativa do porque da demora, ainda sem receber o produto.
já é a terceira vez que tento comprar o mesmo produto e não recebo."
13621,5,Adorei a pintura
23483,1,"A embalagem parece original, mas logo após a instalação a própria impressora informa que o suprimento NÃO É HP. No cartucho falta indicação da cor e o nome HP vem numa etiqueta de papel e não pintada."
18133,5,"A entrega super rápida, me deram 11 dias de prazo com 2 dias chegou o produto "
24012,5,Tudo de acordo com o anunciado.
19040,5,ainda não usei mas chegou no prazo combinado
2112,5,"Recebi muito rápido, produto perfeito."
36607,5,Ainda não usei o produto mas tudo foi certinho 
26594,1,não recomendo esta loja pois a mesma não cumpriu com o seu prazo.
3473,5,"Relógio lindo, entrega bem antes do prazo."
33476,1,Não cumpre o prazo para entrega e não entra em contato com o comprador... que tem que ficar ligando ... esperando... o tempo já era muito elastico... se em uma semana nao receber vou acionar o proco
14379,5,"Compro sempre nas lojas Zoop, porque além dos preços dos produtos serem mais baratos quê nas outras lojas, à entrega é super rápida... Eles dão um prazo de quase um mês... E chega em 3 dias. "
7684,5,"Só achei ela pequena pra seis xícaras ,mais é um bom produto
"
13672,3,Gostaria de receber o meu produto pois já estar passando do período de entrega.
28349,1,"Não temos um rastreamento eficiente e não sabemos porque não entregou , outras lojas que comprei sempre foi entregue antecipado , portanto não gostei é compro com vcs Diogo."
10623,5,"Adorei. Entrega super rápida. 
Super indico."
34737,2,"Boa tarde, nessa entrega estão 2 pedidos e chegou para mim somente a mochila, o controle air mouse não veio. "
9645,5,Todo certo entrega rapida.
30065,1,Comprei o produto no dia 6/8 e no dia 17/8 ainda não tinha sido entregue.
17588,3,"Veio apenas a case de celular para bike
A lanterna ainda não chegou"
22596,1,"Olá, meu pedido não foi entregue, quero saber o que aconteceu se não for resolvido eu vou querer o meu dinheiro de volta.
Agradeço desde já."
15574,1,Pedido já tinha um longo prazo para entrega e ainda atrasa. Produto não recebido ainda.
17862,5,Ótima loja. Entrega rápida. Estou satisfeita
23153,5,Ainda não abrir o produto mas parece muito bom
11372,5,Excelente e rápido 
4385,3,"Entrega rapida, as toalhas sao boas pelo valor"
7854,5,Nunca tive problemas!
30273,5,Produto correto. Sempre cumpre o prazo de entrega. 
3583,5,sempre compro nesse site nunca tive problemas
10470,5,Bons produtos e a entrega fantástica
25751,5,"Chegou super rápido, é bem bonito, deixou o ambiente bem agradável, recomendo."
3802,1,"Produto ainda não foi entregue, difícil acesso para reclamações!! Não recomendo para ninguém 
E o correio também é uma bosta..."
33186,1,"O produto nao foi me entregue, ja se passaram 3 dias uteis depois do prazo de entrega e nao possuo informacoes maiores da loja."
38930,5,"estou satisfeito por tudo, pelo produto, pelo tempo da entrega, excelente empresa! "
14471,4,"Produto entregue antes do prazo , nota 10
"
31623,5,Recebi as mercadorias no prazo indicado pela loja 
37200,3,Não posso avaliar se não entregaram ainda
16803,4,Produto chegou antes d prazo !!!!
16125,5,A entrega foi de troca do prazo e o produto estava bem embalado. Espero que funcione para o tratamento do alcoolismo. 
34469,4,"Compra fácil e entrega rápida, só o frete que acho que deveria ter um valor mais baixo"
21391,5,"Chegou antes do prazo, porém percebi q o zíper da parte menor na primeira vez ele nao abriu o feixe, mas da segunda em diante abriu, caso o feixe abra novamente entro em contato com a loja."
3673,5,"Recibi o meu pedido antes do prazo, poucas lojas tem a eficiência do baratheon loja nota 1000."
15675,5,"Gostei muito, a compra foi simples e a entrega muito rápida"
14360,4,"BOA ENTREGA, MAS CHEGOU UM POUCO FORA DO PRAZO."
4960,5,"Entrega super rápida, a mercadoria chegou muito antes do prazo, e em perfeito estado!! Ótimo produto, super recomendo a todos. Estou muito feliz com minha compra!!!!"
30668,5,O produto chegou muito antes do prazo estabelecido. Recomendo a loja.
13247,5,Chegou antes do prazo. Ótimo
1643,5,Rápido na entrega. Produto de boa qualidade
3103,5,gosto de comprar nesta loja
8098,5,"Comprei, super indico o pedido chegou antes do prazo "
